"date";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"19.10.2011 03:00";"12.8";"763.6";"765.9";"";"91";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"11.3";"";"";"";"";"";"";
"19.10.2011 00:00";"14.2";"764.2";"766.4";"";"94";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.3";"";"";"";"";"";"";
"18.10.2011 15:00";"20.6";"763.9";"766.1";"";"54";"Wind blowing from the north";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"10.0";"10.9";"";"";"";"";"";"";
"18.10.2011 12:00";"17.2";"764.4";"766.2";"";"65";"Wind blowing from the north-east";"3";"";"";"70 – 80%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"10.5";"";"";"";"";"";"";
"18.10.2011 09:00";"15.1";"764.8";"767.2";"";"67";"Wind blowing from the north";"3";"";"";"10%  or less, but not 0";" ";"";"";"12.1";"15.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"9.1";"";"";"Dry (without cracks, no appreciable amount of dust or loose sand)";"";"";"";
"18.10.2011 06:00";"12.5";"763.8";"766.0";"";"74";"Wind blowing from the east";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"7.9";"";"";"";"";"";"";
"18.10.2011 03:00";"13.6";"763.5";"765.8";"";"80";"Wind blowing from the north-east";"3";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"10.2";"";"";"";"";"";"";
"18.10.2011 00:00";"14.2";"763.6";"765.9";"";"65";"Wind blowing from the south-east";"3";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"7.8";"";"";"";"";"";"";
"17.10.2011 21:00";"14.6";"763.4";"788.1";"";"70";"Wind blowing from the east";"5";"";"";"60%.";" ";"";"";"14.0";"20.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"9.2";"";"";"";"";"";"";
"17.10.2011 18:00";"16.9";"763.4";"765.6";"";"59";"Wind blowing from the north-east";"3";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"8.9";"";"";"";"";"";"";
"17.10.2011 15:00";"19.8";"763.5";"765.7";"";"38";"Wind blowing from the north-east";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"5.0";"";"";"";"";"";"";
"17.10.2011 12:00";"18.3";"764.1";"766.3";"";"43";"Wind blowing from the south-east";"4";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"10.0";"5.5";"";"";"";"";"";"";
"17.10.2011 09:00";"14.0";"764.1";"766.3";"";"66";"Wind blowing from the south-east";"2";"";"";"100%.";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"10.6";"18.9";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"7.8";"Trace of precipitation";"24";"Dry (without cracks, no appreciable amount of dust or loose sand)";"";"";"";
"17.10.2011 06:00";"11.2";"762.8";"765.0";"";"83";"Wind blowing from the south";"2";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"8.4";"";"";"";"";"";"";
"17.10.2011 03:00";"13.8";"760.8";"763.0";"";"81";"Wind blowing from the south-east";"1";"";"";"20–30%.";"Clouds generally dissolving or becoming less developed. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"10.6";"Trace of precipitation";"6";"";"";"";"";
"16.10.2011 21:00";"18.9";"759.4";"761.7";"";"49";"Wind blowing from the south-west";"2";"";"";"100%.";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"18.2";"25.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"100%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"9.0";"7.9";"";"";"";"";"";"";
"16.10.2011 18:00";"20.0";"758.1";"760.3";"";"49";"Wind blowing from the south";"4";"";"";"100%.";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"100%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"7.0";"8.9";"";"";"";"";"";"";
"16.10.2011 15:00";"23.0";"757.5";"759.7";"";"38";"Wind blowing from the south-west";"2";"";"";"100%.";"Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"100%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"6.0";"7.9";"";"";"";"";"";"";
"16.10.2011 12:00";"23.6";"757.0";"759.2";"";"33";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"6.2";"";"";"";"";"";"";
"16.10.2011 09:00";"19.8";"756.6";"758.7";"";"37";"Wind blowing from the north-east";"0";"";"";"50%.";" ";"";"";"13.5";"22.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"4.7";"";"";"Surface of ground moist.";"";"";"";
"16.10.2011 06:00";"14.8";"755.1";"757.3";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"12.3";"";"";"";"";"";"";
"16.10.2011 03:00";"17.6";"754.0";"756.2";"";"78";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.8";"";"";"";"";"";"";
"16.10.2011 00:00";"20.5";"753.9";"756.1";"";"56";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"11.4";"";"";"";"";"";"";
"15.10.2011 21:00";"22.2";"752.8";"755.1";"";"48";"Wind blowing from the north-west";"2";"";"";"20–30%.";" ";"";"";"18.1";"28.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"10.7";"";"";"";"";"";"";
"15.10.2011 18:00";"26.3";"753.0";"755.2";"";"32";"Wind blowing from the north-west";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"8.4";"";"";"";"";"";"";
"15.10.2011 15:00";"27.4";"754.6";"756.8";"";"34";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"10.1";"";"";"";"";"";"";
"15.10.2011 12:00";"25.1";"756.0";"758.2";"";"47";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"13.0";"";"";"";"";"";"";
"15.10.2011 09:00";"18.1";"757.0";"759.2";"";"65";"Wind blowing from the west-northwest";"2";"";"";"no clouds";" ";"";"";"13.5";"18.1";"";"";"";"";"";"10.0";"11.4";"";"";"Dry (without cracks, no appreciable amount of dust or loose sand)";"";"";"";
"15.10.2011 06:00";"13.8";"756.6";"758.8";"";"73";"Wind blowing from the west-northwest";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"9.1";"";"";"";"";"";"";
"15.10.2011 03:00";"14.0";"756.6";"758.8";"";"76";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"9.8";"";"";"";"";"";"";
"15.10.2011 00:00";"16.0";"757.2";"759.4";"";"65";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"9.5";"";"";"";"";"";"";
"14.10.2011 21:00";"17.4";"756.9";"759.1";"";"70";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"14.7";"23.2";"";"";"";"";"";"10.0";"11.8";"";"";"";"";"";"";
"14.10.2011 18:00";"22.0";"755.2";"757.5";"";"46";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"9.8";"";"";"";"";"";"";
"14.10.2011 15:00";"21.2";"755.5";"757.7";"";"43";"Wind blowing from the east-southeast";"2";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"8.2";"";"";"";"";"";"";
"14.10.2011 12:00";"17.4";"757.0";"759.2";"";"69";"Wind blowing from the south-west";"2";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"11.6";"";"";"";"";"";"";
"14.10.2011 09:00";"14.7";"757.3";"759.5";"";"80";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"12.2";"18.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"11.2";"0.1";"24";"Dry (without cracks, no appreciable amount of dust or loose sand)";"";"";"";
"14.10.2011 06:00";"12.9";"755.8";"758.0";"";"92";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"11.6";"";"";"";"";"";"";
"14.10.2011 03:00";"14.6";"754.6";"756.8";"";"89";"Wind blowing from the south-east";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"12.8";"";"";"";"";"";"";
"14.10.2011 00:00";"16.4";"755.2";"757.4";"";"81";"Wind blowing from the south-east";"2";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"13.2";"";"";"";"";"";"";
"13.10.2011 21:00";"18.2";"755.1";"757.3";"";"78";"Wind blowing from the south-east";"2";"";"";"10%  or less, but not 0";" ";"";"";"16.2";"21.7";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.4";"";"";"";"";"";"";
"13.10.2011 18:00";"21.5";"754.5";"756.7";"";"65";"Wind blowing from the south";"3";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.6";"";"";"";"";"";"";
"13.10.2011 15:00";"20.0";"755.8";"758.1";"";"83";"Wind blowing from the south-west";"5";"";"";"90  or more, but not 100%";"Clouds generally dissolving or becoming less developed. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"90  or more, but not 100%";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"17.1";"0.1";"6";"";"";"";"";
"13.10.2011 12:00";"18.0";"756.0";"758.2";"";"88";"Wind blowing from the south-east";"2";"";"";"100%.";"State of sky on the whole unchanged. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"300-600";"";"";"10.0";"16.0";"";"";"";"";"";"";
"13.10.2011 09:00";"16.2";"756.2";"758.4";"";"99";"Wind blowing from the south";"2";"";"";"100%.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"14.9";"16.3";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"300-600";"";"";"9.0";"16.0";"0.3";"6";"Surface of ground wet (standing water in small or large pools on surface).";"";"";"";
"13.10.2011 06:00";"15.1";"755.1";"757.3";"";"100";"Wind blowing from the south";"2";"";"";"100%.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"300-600";"";"";"7.0";"15.1";"";"";"";"";"";"";
"13.10.2011 03:00";"15.1";"754.9";"757.1";"";"94";"Wind blowing from the south";"3";"";"";"100%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"300-600";"";"";"10.0";"14.2";"";"";"";"";"";"";
"13.10.2011 00:00";"16.0";"754.9";"757.0";"";"90";"Wind blowing from the south-east";"1";"";"";"100%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"50%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"14.4";"";"";"";"";"";"";
"12.10.2011 21:00";"16.0";"754.3";"756.4";"";"87";"Wind blowing from the east";"2";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"14.0";"18.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.9";"12.0";"6";"";"";"";"";
"12.10.2011 18:00";"15.3";"755.6";"757.8";"";"97";"Wind blowing from the east";"1";"";"";"100%.";"Slight rain at time of observation. Thunderstorm during the preceding hour but not at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"8.0";"14.8";"";"";"";"";"";"";
"12.10.2011 15:00";"17.0";"755.2";"757.5";"";"79";"Wind blowing from the north-east";"0";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"9.0";"13.3";"Trace of precipitation";"6";"";"";"";"";
"12.10.2011 12:00";"16.0";"757.0";"759.3";"";"79";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"300-600";"";"";"10.0";"12.4";"";"";"";"";"";"";
"12.10.2011 09:00";"14.0";"756.6";"758.8";"";"85";"Wind blowing from the east";"4";"";"";"100%.";" ";"";"";"12.3";"15.8";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"300-600";"";"";"10.0";"11.6";"";"";"Surface of ground moist.";"";"";"";
"12.10.2011 06:00";"12.8";"758.0";"760.3";"";"75";"Wind blowing from the east";"3";"";"";"100%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"200-300";"";"";"10.0";"8.4";"";"";"";"";"";"";
"12.10.2011 03:00";"14.7";"759.0";"761.2";"";"88";"Wind blowing from the south-east";"3";"";"";"100%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"200-300";"";"";"10.0";"12.7";"";"";"";"";"";"";
"12.10.2011 00:00";"15.3";"759.1";"761.3";"";"84";"Wind blowing from the north-east";"5";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"90  or more, but not 100%";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"12.6";"";"";"";"";"";"";
"11.10.2011 21:00";"15.8";"759.7";"761.8";"";"81";"Wind blowing from the south-east";"5";"";"";"100%.";" ";"";"";"15.8";"22.0";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"300-600";"";"";"10.0";"12.6";"";"";"";"";"";"";
"11.10.2011 18:00";"17.1";"758.4";"760.6";"";"78";"Wind blowing from the south-east";"5";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.2";"";"";"";"";"";"";
"11.10.2011 15:00";"20.7";"759.4";"761.6";"";"62";"Wind blowing from the east";"4";"";"";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.1";"";"";"";"";"";"";
"11.10.2011 12:00";"20.4";"760.8";"763.0";"";"63";"Wind blowing from the north-east";"3";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.1";"";"";"";"";"";"";
"11.10.2011 09:00";"18.4";"761.0";"763.2";"";"75";"Wind blowing from the north-northeast";"1";"";"";"70 – 80%.";" ";"";"";"13.5";"18.4";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"70 – 80%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.9";"";"";"Surface of ground moist.";"";"";"";
"11.10.2011 06:00";"15.6";"759.8";"762.1";"";"96";"Wind blowing from the east";"0";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.9";"";"";"";"";"";"";
"11.10.2011 03:00";"15.0";"758.7";"761.0";"";"93";"Wind blowing from the east";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.9";"";"";"";"";"";"";
"11.10.2011 00:00";"15.1";"758.2";"760.6";"";"88";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"13.1";"";"";"";"";"";"";
"10.10.2011 21:00";"16.1";"758.2";"760.4";"";"91";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"15.4";"19.9";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.7";"";"";"";"";"";"";
"10.10.2011 18:00";"18.4";"756.3";"758.5";"";"79";"Wind blowing from the south";"1";"";"";"100%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"300-600";"";"";"10.0";"14.7";"";"";"";"";"";"";
"10.10.2011 15:00";"18.8";"756.1";"758.2";"";"76";"Wind blowing from the south-west";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"90  or more, but not 100%";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.4";"";"";"";"";"";"";
"10.10.2011 09:00";"15.4";"755.8";"758.1";"";"94";"Wind blowing from the south-west";"3";"";"";"100%.";"State of sky on the whole unchanged. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"14.1";"17.6";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"200-300";"";"";"10.0";"14.4";"Trace of precipitation";"6";"Surface of ground wet (standing water in small or large pools on surface).";"";"";"";
"10.10.2011 06:00";"14.7";"754.2";"756.4";"";"97";"Wind blowing from the south-west";"2";"";"";"100%.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Drizzle.";"Drizzle.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"100-200";"";"";"8.0";"14.2";"";"";"";"";"";"";
"10.10.2011 03:00";"15.6";"754.0";"756.2";"";"90";"Wind blowing from the south-west";"2";"";"";"100%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"200-300";"";"";"10.0";"14.0";"";"";"";"";"";"";
